receiver;brvstat;toloc
5790000120284;;"file://D:\\Udveksle\Deadend\PositivContrl_til_FPAS\"
5790000120284;DIS05;file://D:\FrontEnd\FTP\FPAS\OB\
5790000120284;DIS91;file://D:\FrontEnd\FTP\FPAS\OB\
5790000120291;REQ01;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000120420;RPT01;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000121144;RPT01;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000121441;DIS91;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000121892;DIS20;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000122028;CTL02;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000122028;DIS91;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000122370;DIS17;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000122400;DIS17;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000122479;XDIS17;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000122509;DIS20;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000122790;XDIS17;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000122851;DIS20;file://D:\FrontEnd\FTP\FPAS\OB\
5790000123162;DIS20;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000123254;DIS17;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000123278;DIS20;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000123315;XDIS17;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000123322;CTL03;file://\\10.2.0.53\D$\FTP\fyn1\EDI_til_FPAS\
5790000123322;DIS91;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000123438;DIS17;file://D:\FrontEnd\FTP\FPAS\OB\
5790000123438;DIS91;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000123445;DIS17;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000123445;XDIS20;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000123599;DIS17;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000124527;DIS17;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125036;RPT02;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125036;RPT03;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125043;CTL03;file://\\10.2.0.53\D$\FTP\fyn1\EDI_til_FPAS\
5790000125043;CTL03;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125043;DIS01;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125043;DIS02;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125043;DIS03;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125043;RPT01;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125043;RPT02;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125043;RPT03;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125050;DIS05;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125050;DIS91;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125050;RPT04;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125067;CTL02;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125067;CTL03;file://\\10.2.0.53\D$\FTP\fyn1\EDI_til_FPAS\
5790000125067;CTL03;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125067;DIS01;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125067;DIS02;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125067;DIS03;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125067;RPT01;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125067;RPT02;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125067;RPT03;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125074;CTL03;file://\\10.2.0.53\D$\FTP\fyn1\EDI_til_FPAS\
5790000125074;DIS13;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125074;DIS91;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125098;DIS03;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125111;CTL03;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125111;DIS02;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125111;DIS03;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125135;CTL02;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125135;CTL03;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125135;DIS01;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125135;DIS05;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125135;DIS91;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125159;DIS05;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125159;DIS13;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125166;DIS02;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125166;DIS03;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125166;RPT01;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125166;RPT02;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125166;RPT03;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125173;DIS05;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125173;DIS91;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
5790000125173;RPT04;mq://MQPRSDEDI/MQZ.YPDD.EDI_FPAS_KMD/
